time,entity,value
2015,苹果,231.2
2015,三星,324.8
2015,华为,104.9
2015,小米,70.8
2015,OPPO,43.4
2015,vivo,41.4
2015,联想,74.0
2015,中兴,56.8
2016,苹果,215.2
2016,三星,310.9
2016,华为,139.1
2016,小米,92.4
2016,OPPO,78.4
2016,vivo,57.4
2016,联想,50.7
2016,中兴,57.0
2017,苹果,214.9
2017,三星,318.7
2017,华为,153.1
2017,小米,92.4
2017,OPPO,111.8
2017,vivo,99.1
2017,联想,40.1
2017,中兴,44.9
2018,苹果,225.3
2018,三星,292.3
2018,华为,206.2
2018,小米,122.6
2018,OPPO,113.1
2018,vivo,101.2
2018,联想,41.5
2018,中兴,35.6
2019,苹果,227.1
2019,三星,295.7
2019,华为,240.6
2019,小米,124.0
2019,OPPO,114.3
2019,vivo,109.5
2019,联想,38.4
2019,中兴,34.3
2020,苹果,204.1
2020,三星,255.7
2020,华为,189.8
2020,小米,146.4
2020,OPPO,111.5
2020,vivo,111.2
2020,联想,41.3
2020,中兴,30.7
2021,苹果,235.7
2021,三星,272.1
2021,华为,135.7
2021,小米,190.3
2021,OPPO,143.2
2021,vivo,131.3
2021,联想,62.1
2021,中兴,30.6
2022,苹果,232.2
2022,三星,258.2
2022,华为,119.0
2022,小米,153.1
2022,OPPO,103.3
2022,vivo,98.6
2022,联想,61.9
2022,中兴,28.0
2023,苹果,234.6
2023,三星,226.6
2023,华为,119.5
2023,小米,145.9
2023,OPPO,92.8
2023,vivo,87.2
2023,联想,58.5
2023,中兴,26.9
2024,苹果,232.1
2024,三星,223.9
2024,华为,128.0
2024,小米,168.5
2024,OPPO,89.2
2024,vivo,84.7
2024,联想,55.4
2024,中兴,25.4
